Organism/Name	TaxID	BioProject_Accession	BioProject_ID	Group	SubGroup	Size_(Mb)	GC%	Assembly_Accession	Chromosomes	Organelles	Plasmids	WGS	Scaffolds	Genes	Proteins	Release_Date	Modify_Date	Status	Center	BioSample_Accession
Hordeum_vulgare_subsp._vulgare	112509	PRJDA62403	62403	Plants	Land_Plants	28.016	44.7	GCA_000227425.1	-	-	-	BACC01	-	-	-	2011/06/22	2015/09/16	Contig	Institute_of_Plant_Science_and_Resources,_Okayama_University	SAMD00036549
Hordeum_vulgare_subsp._vulgare	112509	PRJEB88	179053	Plants	Land_Plants	1779.49	44.9	GCA_000326125.1	-	-	-	CAJX01	2077901	-	-	2012/10/29	2015/02/01	Scaffold	IPK-Gatersleben	SAMEA2272683
Oryza_sativa_Japonica_Group	39947	PRJNA13141	13141	Plants	Land_Plants	382.778	42.6517	GCA_000005425.2	12	-	-	-	15	30294	28392	2005/02/02	2012/08/09	Chromosome	International_Rice_Genome_Sequencing_Project	-
Oryza_sativa_Indica_Group	39946	PRJNA361	361	Plants	Land_Plants	426.337	43.7299	GCA_000004655.2	12	-	-	AAAA02	10627	39285	37358	2002/04/04	2014/08/06	Chromosome	Beijing_Institute_of_Genomics,_Chinese_Academy_of_Sciences	SAMN02953581
Oryza_sativa_Japonica_Group	39947	PRJNA13139	13139	Plants	Land_Plants	391.148	44.0846	GCA_000149285.1	12	-	-	AACV01	7777	37032	35394	2004/10/21	2014/08/06	Chromosome	Beijing_Genomics_Institute	SAMN02953597
Oryza_sativa_Japonica_Group	39947	PRJDA39809	39809	Plants	Land_Plants	382.151	43.0871	GCA_000164945.1	12	-	-	BABO01	12	-	-	2010/04/01	2010/05/24	Chromosome	QTL_Genomics_Research_Center,_National_Institute_of_Agrobiological_Sciences	SAMD00009497
Oryza_sativa_Japonica_Group	39947	PRJDA67163	67163	Plants	Land_Plants	382.627	43.3738	GCA_000321445.1	12	-	-	BACJ01	12	-	-	2011/12/27	2011/12/28	Chromosome	Iwate_Biotechnology_Research_Center	SAMD00036555
Triticum_aestivum	4565	PRJEA41525	41525	Plants	Land_Plants	1.26608	44.8	GCA_000210335.1	1	-	-	-	1	45	21	2010/07/15	2015/02/27	Chromosome	International_Wheat_Genome_Sequencing_Consortium	SAMEA2272260
Triticum_aestivum	4565	PRJNA61773	61773	Plants	Land_Plants	159.087	43.6	GCA_000188135.1	-	-	-	AEOM01	-	-	-	2011/02/04	2014/08/11	Contig	International_Wheat_Genome_Sequencing_Consortium	SAMN02981295
Triticum_aestivum	4565	PRJEB217	171500	Plants	Land_Plants	3800.33	47.7	GCA_000334095.1	-	-	-	CALP01	-	-	-	2012/12/23	2015/02/01	Contig	MIPS/HMGU	SAMEA2272365
Triticum_aestivum	4565	PRJEB217	171500	Plants	Land_Plants	437.106	48.3	GCA_000334135.1	-	-	-	CALO01	-	-	-	2013/01/09	2015/01/30	Contig	MIPS/HMGU	SAMEA2272598
Zea_mays	4577	PRJNA249074	249074	Plants	Land_Plants	2067.62	46.8286	GCA_000005005.5	20	2	-	-	523	104305	116015	2010/01/29	2014/08/02	Chromosome	NCBI	-
Zea_mays	4577	PRJNA51041	51041	Plants	Land_Plants	177.051	45.9	GCA_000223545.1	-	-	-	AECO01	196697	-	-	2011/08/16	2014/08/11	Scaffold	Laboratorio_Nacional_de_Genómica_para_la_Biodiversidad_(LANGEBIO)_CINVESTAV_Irapuato	SAMN02981271
Zea_mays	4577	PRJNA249074	249074	Plants	Land_Plants	1.33507	45.4	GCA_000275765.1	-	-	-	AHID01	1844	-	-	2012/07/03	2014/08/11	Contig	NCBI	SAMN02981394
Schizosaccharomyces_pombe	4896	PRJNA13836	13836	Fungi	Ascomycetes	12.5913	36.0381	GCA_000002945.2	3	1	-	-	4	6991	5133	2002/02/28	2015/02/27	Chromosome	S._pombe_European_Sequencing_Consortium_(EUPOM)	SAMEA3138176
Saccharomyces_cerevisiae_S288c	559292	PRJNA43747	43747	Fungi	Ascomycetes	12.1571	38.1556	GCA_000146045.2	16	1	-	-	17	6350	5907	1999/11/08	2016/03/15	Complete_Genome	Saccharomyces_Genome_Database	-
Saccharomyces_cerevisiae_Sigma1278b	658763	PRJNA39317	39317	Fungi	Ascomycetes	11.9459	38.3049	GCA_000151485.1	16	-	-	ACVY01	16	-	-	2010/04/29	2014/08/04	Chromosome	Broad_Institute	SAMN00002885
Saccharomyces_cerevisiae_AWRI796	764097	PRJNA48559	48559	Fungi	Ascomycetes	11.7417	38.2354	GCA_000190195.1	16	-	-	ADVS01	89	5267	3786	2011/02/11	2014/08/11	Chromosome	The_Australian_Wine_Research_Institute	SAMN02981265
Saccharomyces_cerevisiae_Vin13	764099	PRJNA48563	48563	Fungi	Ascomycetes	11.6675	38.2583	GCA_000190215.1	16	-	-	ADXC01	107	5250	3930	2011/02/11	2014/08/11	Chromosome	The_Australian_Wine_Research_Institute	SAMN02981268
Saccharomyces_cerevisiae_VL3	764100	PRJNA48565	48565	Fungi	Ascomycetes	11.6622	38.2576	GCA_000190235.1	16	-	-	AEJS01	84	5295	4025	2011/02/11	2014/08/11	Chromosome	The_Australian_Wine_Research_Institute	SAMN02981289
Saccharomyces_cerevisiae_FostersB	764102	PRJNA48569	48569	Fungi	Ascomycetes	11.5146	38.2354	GCA_000190255.1	16	-	-	AEHH01	90	5187	3689	2011/02/11	2014/08/11	Chromosome	The_Australian_Wine_Research_Institute	SAMN02981281
Saccharomyces_cerevisiae_CEN.PK113-7D	889517	PRJNA52955	52955	Fungi	Ascomycetes	11.9991	38.7084	GCA_000269885.1	16	-	-	AEHG01	70	5451	5451	2012/06/18	2014/08/04	Chromosome	Chalmers_University_of_Technology	SAMN00828752
Saccharomyces_cerevisiae_W303	580240	PRJNA83445	83445	Fungi	Ascomycetes	12.1532	38.3352	GCA_000292815.1	16	1	1	ALAV01	18	-	-	2012/08/24	2014/08/11	Chromosome	Max_Planck_Institute_Molecular_Genetics	SAMN02981436
Saccharomyces_cerevisiae_EC1118	643680	PRJEA37863	37863	Fungi	Ascomycetes	11.6595	38.3	GCA_000218975.1	-	-	-	-	31	7248	6017	-	-	Scaffold	Genoscope	SAMEA2272624
Saccharomyces_cerevisiae_Kyokai_no._7	721032	PRJDA45827	45827	Fungi	Ascomycetes	12.3892	38.5	GCA_000260735.1	-	-	-	BABQ01	522	6592	5795	2011/09/22	2016/04/19	Scaffold	National_Research_Institute_of_Brewing	SAMD00036541
Saccharomyces_cerevisiae_Lalvin_QA23	764098	PRJNA48561	48561	Fungi	Ascomycetes	11.8041	38.3	GCA_000325965.1	-	-	-	ADVV01	185	5336	4022	2011/02/11	2014/08/11	Scaffold	The_Australian_Wine_Research_Institute	SAMN02981266
Saccharomyces_cerevisiae_RM11-1a	285006	PRJNA13674	13674	Fungi	Ascomycetes	11.737	38.3	GCA_000149365.1	-	-	-	AAEG01	17	5960	5377	2005/03/16	2014/08/06	Scaffold	Broad_Institute	SAMN02953602
Saccharomyces_cerevisiae_Y10	462210	PRJNA60201	60201	Fungi	Ascomycetes	14.2673	41.6	GCA_000192375.1	-	-	-	AEWK01	1157	-	-	2011/03/11	2014/08/11	Scaffold	Genome_Sequencing_Center_(GSC)_at_Washington_University_(WashU)_School_of_Medicine	SAMN02981307
Saccharomyces_cerevisiae_CBS_7960	929587	PRJNA60391	60391	Fungi	Ascomycetes	12.9079	39.8	GCA_000192455.1	-	-	-	AEWL01	1402	-	-	2011/03/11	2014/08/11	Scaffold	Genome_Sequencing_Center_(GSC)_at_Washington_University_(WashU)_School_of_Medicine	SAMN02981308
Saccharomyces_cerevisiae_CLIB324	929629	PRJNA60415	60415	Fungi	Ascomycetes	13.4362	40.1	GCA_000192495.1	-	-	-	AEWM01	998	-	-	2011/03/11	2014/08/11	Scaffold	Genome_Sequencing_Center_(GSC)_at_Washington_University_(WashU)_School_of_Medicine	SAMN02981309
Saccharomyces_cerevisiae_YJM269	929586	PRJNA60389	60389	Fungi	Ascomycetes	12.4093	38.8	GCA_000192515.1	-	-	-	AEWN01	451	-	-	2011/03/11	2014/08/11	Scaffold	Genome_Sequencing_Center_(GSC)_at_Washington_University_(WashU)_School_of_Medicine	SAMN02981310
Saccharomyces_cerevisiae_FL100	947036	PRJNA60147	60147	Fungi	Ascomycetes	12.4154	39	GCA_000192535.1	-	-	-	AEWO01	926	-	-	2011/03/11	2014/08/11	Scaffold	Genome_Sequencing_Center_(GSC)_at_Washington_University_(WashU)_School_of_Medicine	SAMN02981311
Saccharomyces_cerevisiae_CLIB215	464025	PRJNA60143	60143	Fungi	Ascomycetes	12.4385	39.1	GCA_000192555.1	-	-	-	AEWP01	583	-	-	2011/03/11	2014/08/11	Scaffold	Genome_Sequencing_Center_(GSC)_at_Washington_University_(WashU)_School_of_Medicine	SAMN02981312
Saccharomyces_cerevisiae_PW5	947039	PRJNA60181	60181	Fungi	Ascomycetes	11.8024	38.4	GCA_000209265.1	-	-	-	AFDC01	461	-	-	2011/04/25	2014/08/04	Scaffold	Genome_Sequencing_Center_(GSC)_at_Washington_University_(WashU)_School_of_Medicine	SAMN00199004
Saccharomyces_cerevisiae_UC5	947040	PRJNA60197	60197	Fungi	Ascomycetes	11.7165	38.4	GCA_000209285.1	-	-	-	AFDD01	506	-	-	2011/04/25	2014/08/04	Scaffold	Genome_Sequencing_Center_(GSC)_at_Washington_University_(WashU)_School_of_Medicine	SAMN00198987
Saccharomyces_cerevisiae_T73	471859	PRJNA60195	60195	Fungi	Ascomycetes	12.4352	39.2	GCA_000209305.1	-	-	-	AFDF01	2689	-	-	2011/04/25	2014/08/04	Scaffold	Genome_Sequencing_Center_(GSC)_at_Washington_University_(WashU)_School_of_Medicine	SAMN00198997
Saccharomyces_cerevisiae_CLIB382	947035	PRJNA60145	60145	Fungi	Ascomycetes	10.2559	39.9	GCA_000209345.1	-	-	-	AFDG01	10262	-	-	2011/04/25	2014/08/04	Scaffold	Genome_Sequencing_Center_(GSC)_at_Washington_University_(WashU)_School_of_Medicine	SAMN00198998
Saccharomyces_cerevisiae_T7	929585	PRJNA60387	60387	Fungi	Ascomycetes	11.7814	38.3	GCA_000209365.1	-	-	-	AFDE01	212	-	-	2011/04/25	2014/08/11	Scaffold	Genome_Sequencing_Center_(GSC)_at_Washington_University_(WashU)_School_of_Medicine	SAMN02981319
Saccharomyces_cerevisiae_EC9-8	1095001	PRJNA73985	73985	Fungi	Ascomycetes	12.2998	39	GCA_000234495.1	-	-	-	AGSJ01	96	-	-	2011/11/04	2014/08/11	Scaffold	Academia_Sinica_	SAMN02981386
Saccharomyces_cerevisiae_M3707	1149757	PRJNA174688	174688	Fungi	Ascomycetes	11.5097	38.3	GCA_000365045.1	-	-	-	AMQB01	42	-	-	2013/04/15	2014/08/01	Scaffold	DOE_Joint_Genome_Institute	SAMN02769630
Saccharomyces_cerevisiae_M3836	1162671	PRJNA174689	174689	Fungi	Ascomycetes	11.5327	38.3	GCA_000365065.1	-	-	-	AMQC01	52	-	-	2013/04/15	2014/08/01	Scaffold	DOE_Joint_Genome_Institute	SAMN02769631
Saccharomyces_cerevisiae_M3837	1162672	PRJNA174690	174690	Fungi	Ascomycetes	11.5303	38.3	GCA_000365085.1	-	-	-	AMQD01	45	-	-	2013/04/15	2014/08/01	Scaffold	DOE_Joint_Genome_Institute	SAMN02769632
Saccharomyces_cerevisiae_M3838	1162673	PRJNA174691	174691	Fungi	Ascomycetes	11.5716	38.3	GCA_000365105.1	-	-	-	AMQE01	34	-	-	2013/04/15	2014/08/01	Scaffold	DOE_Joint_Genome_Institute	SAMN02769633
Saccharomyces_cerevisiae_M3839	1162674	PRJNA174692	174692	Fungi	Ascomycetes	11.5502	38.3	GCA_000365125.1	-	-	-	AMQF01	44	-	-	2013/04/15	2014/08/01	Scaffold	DOE_Joint_Genome_Institute	SAMN02769634
Saccharomyces_cerevisiae_YJM789	307796	PRJNA13304	13304	Fungi	Ascomycetes	11.991	38.3	GCA_000181435.1	-	-	-	AAFW02	258	5903	5902	2005/01/06	2014/08/06	Scaffold	Stanford_University	SAMN02953615
Saccharomyces_cerevisiae_M22	538975	PRJNA28815	28815	Fungi	Ascomycetes	10.7768	38.8	GCA_000182075.1	-	-	-	ABPC01	6145	-	-	2008/06/16	2014/08/04	Contig	Washington_University_School_of_Medicine_(WashU)	SAMN00189351
Saccharomyces_cerevisiae_YPS163	538976	PRJNA28813	28813	Fungi	Ascomycetes	10.7188	38.5	GCA_000182095.1	-	-	-	ABPD01	4725	-	-	2008/06/16	2014/08/04	Contig	Washington_University_School_of_Medicine_(WashU)	SAMN00189350
Saccharomyces_cerevisiae_AWRI1631	545124	PRJNA30553	30553	Fungi	Ascomycetes	11.1769	38.2	GCA_000182175.1	-	-	-	ABSV01	2484	5568	5451	2008/09/30	2014/08/06	Contig	The_Australian_Wine_Research_Institute_(AWRI),_Australia	SAMN02953734
Saccharomyces_cerevisiae_JAY291	574961	PRJNA32809	32809	Fungi	Ascomycetes	11.5381	38.1	GCA_000182315.2	-	-	-	ACFL01	453	5594	5197	2009/08/20	2014/08/06	Contig	Duke_University_Medical_Center	SAMN02953746
Saccharomyces_cerevisiae_ZTW1	1227742	PRJNA174065	174065	Fungi	Ascomycetes	11.4148	38.3	GCA_000308935.1	-	-	-	AMDD01	33	-	-	2012/10/31	2014/08/11	Contig	College_of_life_science	SAMN02981455
Saccharomyces_cerevisiae_FostersO	764101	PRJNA48567	48567	Fungi	Ascomycetes	11.6849	38.2	GCA_000326005.1	-	-	-	AEEZ01	222	5207	3575	2011/02/11	2014/08/11	Contig	The_Australian_Wine_Research_Institute	SAMN02981272
Saccharomyces_cerevisiae_NY1308	1331972	PRJNA202086	202086	Fungi	Ascomycetes	11.5142	38.2	GCA_000416405.1	-	-	-	ASJZ01	35	-	-	2013/06/28	2014/08/11	Contig	Zhejiang_University	SAMN02981536
Aspergillus_nidulans_FGSC_A4	227321	PRJNA130	130	Fungi	Ascomycetes	30.2427	50.3	GCA_000149205.1	-	-	-	AACD01	90	9545	9541	2003/04/07	2014/08/06	Scaffold	Broad_Institute	SAMN02953587
Aspergillus_nidulans_FGSC_A4	227321	PRJEA40559	40559	Fungi	Ascomycetes	29.8283	50.37	GCA_000011425.1	8	-	-	-	8	10597	10534	2009/09/24	2015/02/27	Chromosome	Eurofungbase_(Eurofung)	SAMEA2272224
Aspergillus_fumigatus_Af293	330879	PRJNA131	131	Fungi	Ascomycetes	29.385	49.8207	GCA_000002655.1	8	-	-	AAHF01	8	9916	9630	2005/06/01	2014/08/04	Chromosome	J._Craig_Venter_Institute	SAMN00115746
Aspergillus_fumigatus_A1163	451804	PRJNA18733	18733	Fungi	Ascomycetes	29.2054	49.5	GCA_000150145.1	-	-	-	ABDB01	55	10123	9929	2007/06/26	2014/08/04	Scaffold	J._Craig_Venter_Institute	SAMN00115744
Aspergillus_fumigatus_Af10	1035095	PRJNA46347	46347	Fungi	Ascomycetes	28.7591	49.5	GCA_000225625.2	-	-	-	AFXL01	1129	-	-	2011/09/09	2014/08/11	Contig	JCVI	SAMN02981356
Aspergillus_fumigatus_AF210	888744	PRJNA52783	52783	Fungi	Ascomycetes	28.9028	49.3	GCA_000225645.2	-	-	-	AFXM01	447	-	-	2011/09/09	2014/08/11	Contig	JCVI	SAMN02981357
Phanerochaete_chrysosporium_RP-78	273507	PRJNA135	135	Fungi	Basidiomycetes	29.8426	57	GCA_000167175.1	-	-	-	AADS01	1323	-	-	2004/04/29	2014/08/06	Contig	DOE_Joint_Genome_Institute	SAMN02953600
Candida_albicans_SC5314	237561	PRJNA10701	10701	Fungi	Ascomycetes	27.5589	33.4	GCA_000182965.2	-	-	-	AACQ01	413	14213	14217	2004/04/21	2014/08/06	Scaffold	Stanford_University	SAMN02953594
Candida_albicans_WO-1	294748	PRJNA16373	16373	Fungi	Ascomycetes	14.473	33.506	GCA_000149445.2	5	-	-	AAFO01	17	6101	5752	2006/03/28	2014/08/06	Chromosome	Broad_Institute	SAMN02953609
Candida_albicans_A123	1182537	PRJNA165033	165033	Fungi	Ascomycetes	14.638	33.5	GCA_000447455.1	-	-	-	AVAR01	75	-	-	2013/08/15	2014/08/04	Scaffold	Broad_Institute	SAMN00974110
Candida_albicans_A92	1182536	PRJNA165031	165031	Fungi	Ascomycetes	14.6074	33.6	GCA_000447475.1	-	-	-	AVAS01	54	-	-	2013/08/15	2014/08/04	Scaffold	Broad_Institute	SAMN00974109
Candida_albicans_A203	1182540	PRJNA165039	165039	Fungi	Ascomycetes	14.7854	33.8	GCA_000447495.1	-	-	-	AVAT01	50	-	-	2013/08/15	2014/08/04	Scaffold	Broad_Institute	SAMN00974113
Candida_albicans_A67	1182535	PRJNA165029	165029	Fungi	Ascomycetes	14.6882	33.7	GCA_000447515.1	-	-	-	AVAU01	64	-	-	2013/08/15	2014/08/04	Scaffold	Broad_Institute	SAMN00974108
Candida_albicans_A48	1182534	PRJNA165027	165027	Fungi	Ascomycetes	14.7	33.6	GCA_000447535.1	-	-	-	AVAV01	87	-	-	2013/08/15	2014/08/04	Scaffold	Broad_Institute	SAMN00974107
Candida_albicans_CHN1	1182532	PRJNA165023	165023	Fungi	Ascomycetes	14.7275	33.6	GCA_000447555.1	-	-	-	AVAW01	84	-	-	2013/08/15	2014/08/04	Scaffold	Broad_Institute	SAMN00974105
Candida_albicans_A20	1182533	PRJNA165025	165025	Fungi	Ascomycetes	14.553	33.6	GCA_000447575.1	-	-	-	AVAX01	71	-	-	2013/08/15	2014/08/04	Scaffold	Broad_Institute	SAMN00974106
Candida_albicans_3153A	1182531	PRJNA165021	165021	Fungi	Ascomycetes	14.89	33.7	GCA_000447595.1	-	-	-	AVAY01	100	-	-	2013/08/15	2014/08/04	Scaffold	Broad_Institute	SAMN00974104
Candida_albicans_A155	1182538	PRJNA165035	165035	Fungi	Ascomycetes	14.4651	33.5	GCA_000447615.1	-	-	-	AVAZ01	84	-	-	2013/08/15	2014/08/04	Scaffold	Broad_Institute	SAMN00974111
Candida_albicans_A84	1182539	PRJNA165037	165037	Fungi	Ascomycetes	14.6916	33.7	GCA_000447635.1	-	-	-	AVBA01	86	-	-	2013/08/15	2014/08/04	Scaffold	Broad_Institute	SAMN00974112
Leishmania_major_strain_Friedlin	347515	PRJNA10724	10724	Protists	Kinetoplasts	32.8551	59.7114	GCA_000002725.2	36	-	-	-	36	9686	8316	1998/06/29	2015/02/27	Complete_Genome	Friedlin_Consortium	SAMEA3138173
Leishmania_major_strain_SD_75.1	860570	PRJNA50303	50303	Protists	Kinetoplasts	31.2428	59.5	GCA_000250755.2	-	-	-	AFZI01	36	-	-	2012/02/28	2014/08/06	Scaffold	WUGSC	SAMN02953800
Leishmania_major_strain_LV39c5	860569	PRJNA50301	50301	Protists	Kinetoplasts	32.3275	59.3	GCA_000331345.1	-	-	-	AODR01	849	-	-	2013/01/09	2014/08/04	Scaffold	WUGSC	SAMN01129976
Trypanosoma_brucei_gambiense_DAL972	679716	PRJNA260635	260635	Protists	Kinetoplasts	22.1481	47.1525	GCA_000210295.1	11	-	-	-	11	9930	9822	2009/10/14	2015/06/30	Chromosome	NCBI	SAMEA2272188
Trypanosoma_cruzi	5693	PRJNA11755	11755	Protists	Kinetoplasts	89.9375	51.7	GCA_000209065.1	-	-	-	AAHK01	29495	23696	19607	2005/07/14	2014/08/06	Scaffold	Trypanosoma_cruzi_consortium	SAMN02953627
Trypanosoma_cruzi_strain_Esmeraldo	366581	PRJNA50493	50493	Protists	Kinetoplasts	38.0811	50.6	GCA_000327425.1	-	-	-	ANOX01	15803	-	-	2012/12/20	2014/08/04	Scaffold	WUGSC	SAMN00016463
Trypanosoma_cruzi_JR_cl._4	914063	PRJNA59941	59941	Protists	Kinetoplasts	41.4808	51.2	GCA_000331405.1	-	-	-	AODP01	15312	-	-	2013/01/09	2014/08/06	Scaffold	Genome_Sequencing_Center_(GSC)_at_Washington_University_(WashU)_School_of_Medicine	SAMN02953827
Trypanosoma_cruzi_Tula_cl2	1206070	PRJNA169675	169675	Protists	Kinetoplasts	83.5112	51.1	GCA_000365225.1	-	-	-	AQHO01	45711	-	-	2013/04/15	2014/08/06	Scaffold	Kinetoplastid_Genomes_Consortium	SAMN02953848
Trypanosoma_cruzi_marinkellei	85056	PRJNA77843	77843	Protists	Kinetoplasts	34.2262	50.9	GCA_000300495.1	-	-	-	AHKC01	-	10117	10104	2012/10/01	2014/08/06	Contig	Karolinska_Institutet	SAMN02953810
Trypanosoma_cruzi	5693	PRJNA40815	40815	Protists	Kinetoplasts	38.5895	51.2	GCA_000188675.2	-	-	-	ADWP02	-	10861	10847	2011/02/09	2014/08/06	Contig	Karolinska_Institutet	SAMN02953776
Giardia_lamblia_ATCC_50803	184922	PRJNA1439	1439	Protists	Other_Protists	11.2136	49.2	GCA_000002435.1	-	-	-	AACB02	92	6583	6502	2003/03/26	2014/08/05	Scaffold	Marine_Biological_Laboratory	SAMN02952905
Giardia_intestinalis_ATCC_50581	598745	PRJNA33815	33815	Protists	Other_Protists	11.0015	47.3	GCA_000182405.1	-	-	-	ACGJ01	2931	4550	4470	2009/07/13	2014/08/06	Contig	Karolinska_Institutet	SAMN02953749
Giardia_lamblia_P15	658858	PRJNA39315	39315	Protists	Other_Protists	11.5221	47.2	GCA_000182665.1	-	-	-	ACVC01	820	5150	5007	2010/10/05	2014/08/06	Contig	Karolinska_Institutet,_Department_of_Cell_and_molecular_biology	SAMN02953764
Entamoeba_histolytica_HM-1:IMSS	294381	PRJNA142	142	Protists	Other_Protists	20.8354	24.3	GCA_000208925.2	-	-	-	AAFB02	1529	8268	8163	2004/12/09	2014/08/06	Scaffold	J._Craig_Venter_Institute_(TIGR)	SAMN02953605
Entamoeba_histolytica_KU27	885311	PRJNA51233	51233	Protists	Other_Protists	15.2721	25.2	GCA_000338855.1	-	-	-	AOSC01	1796	7464	7455	2013/02/08	2014/08/06	Scaffold	J._Craig_Venter_Institute	SAMN02953834
Entamoeba_histolytica_HM-1:IMSS-B	885319	PRJNA51239	51239	Protists	Other_Protists	12.7819	27.1	GCA_000344925.1	-	-	-	APGH01	1938	6301	6301	2013/03/07	2014/08/06	Scaffold	J._Craig_Venter_Institute	SAMN02953843
Entamoeba_histolytica_HM-3:IMSS	885315	PRJNA72935	72935	Protists	Other_Protists	13.8307	25.3	GCA_000346345.1	-	-	-	APGI01	1880	7362	7358	2013/03/13	2014/08/06	Scaffold	J._Craig_Venter_Institute	SAMN02953844
Entamoeba_histolytica_HM-1:IMSS-A	885318	PRJNA51237	51237	Protists	Other_Protists	12.2923	25.2	GCA_000365475.1	-	-	-	APBR01	1685	6327	6327	2013/04/16	2014/08/06	Scaffold	J._Craig_Venter_Institute	SAMN02953836
Eimeria_tenella	5802	PRJNA364	364	Protists	Apicomplexans	1.38246	49.4	GCA_000002835.1	1	-	-	-	2	218	216	2006/06/16	2015/02/27	Chromosome	Sanger_Institute	SAMEA3138174
Cryptosporidium_parvum_Iowa_II	353152	PRJNA144	144	Protists	Apicomplexans	9.10232	30.2513	GCA_000165345.1	8	-	-	AAEE01	8	3887	3805	2004/04/05	2009/11/11	Chromosome	Univ._Minnesota	SAMN02952908
Cryptosporidium_parvum	5807	PRJNA13873	13873	Protists	Apicomplexans	1.1647	31.1	GCA_000209695.1	1	-	-	-	1	473	473	2003/07/02	2015/02/27	Chromosome	MRC_Laboratory_of_Molecular_Biology,_UK	SAMEA3138349
Toxoplasma_gondii_ME49	508771	PRJNA28893	28893	Protists	Apicomplexans	62.9993	52.3	GCA_000006565.1	-	-	-	ABPA01	381	8151	7987	2008/05/20	2013/11/01	Scaffold	J._Craig_Venter_Institute	-
Toxoplasma_gondii_GT1	507601	PRJNA16727	16727	Protists	Apicomplexans	65.0622	52.3	GCA_000149715.2	-	-	-	AAQM03	1616	8627	8460	2006/05/05	2014/08/06	Scaffold	TIGR	SAMN02953654
Toxoplasma_gondii_TgCATBr9	943120	PRJNA61549	61549	Protists	Apicomplexans	61.8242	52.4	GCA_000224825.1	-	-	-	AFHV01	-	-	-	2011/05/17	2014/08/06	Contig	J._Craig_Venter_Institute	SAMN02953794
Toxoplasma_gondii_TgCATBr5	943121	PRJNA61551	61551	Protists	Apicomplexans	61.6362	52.4	GCA_000259835.1	-	-	-	AFPV01	-	-	-	2011/08/26	2014/08/06	Contig	J._Craig_Venter_Institute	SAMN02953796
Toxoplasma_gondii_CtCo5	1194599	PRJNA167493	167493	Protists	Apicomplexans	62.621	52.4	GCA_000278365.1	-	-	-	AKIR01	-	-	-	2012/07/17	2014/08/06	Contig	J._Craig_Venter_Institute	SAMN02953818
Toxoplasma_gondii_COUG	1074873	PRJNA71479	71479	Protists	Apicomplexans	63.6958	52.3	GCA_000338675.1	-	-	-	AGQR01	-	-	-	2013/02/07	2014/08/06	Contig	J._Craig_Venter_Institute	SAMN02953803
Toxoplasma_gondii	5811	PRJNA61553	61553	Protists	Apicomplexans	63.0469	52.4	GCA_000256705.1	-	-	-	AHIV01	-	-	-	2012/03/27	2013/11/01	Contig	J._Craig_Venter_Institute	SAMN00736208
